sts_name,sts_code,epcc_name,epcc_code,comment
"Airway disease, Other",1170,"Airway disease,",16.09.00,
"Aneurysm, Other",1280,"Aneurysm,",01.01.61,no exact in pdf
"Aneurysm, Pulmonary artery",1270,"Pulmonary arterial abnormality, Pulmonary arterial aneurysm,",09.10.44,
"Aneurysm, Ventricular, Left (including pseudoaneurysm)",1260,"Left ventricular abnormality, Left ventricular aneurysm,",07.06.13,
"Aneurysm, Ventricular, Right (including pseudoaneurysm)",1250,"Right ventricular abnormality, Right ventricular aneurysm,",07.01.14,
Aortic aneurysm (including pseudoaneurysm),1110,"Abnormality of aorta: acquired, Aortic aneurysm,",10.14.50,
Aortic arch hypoplasia,1000,"Aortic arch abnormality, Aortic arch hypoplasia (tubular),",09.29.11,
Aortic dissection,1120,"Abnormality of aorta: acquired, Aortic dissection,",10.14.51,
Aortic insufficiency,600,"Aortic regurgitation,",09.15.91,
Aortic insufficiency and aortic stenosis,610,multiple codes,"09.15.91, 09.15.92",
"Aortic stenosis, Subvalvar",550,"Subaortic stenosis,",07.09.00,
"Aortic Stenosis, Subvalvar, Discrete",2500,"Subaortic stenosis,",07.09.00,
"Aortic Stenosis, Subvalvar, IHSS",2510,"Subaortic stenosis,",07.09.00,
"Aortic Stenosis, Subvalvar, Tunnel-like",2520,"Subaortic stenosis,",07.09.00,
"Aortic stenosis, Supravalvar",570,"Aortic abnormality, Supravalvar aortic stenosis,",09.16.00,
"Aortic stenosis, Valvar",560,Aortic valvar stenosis,09.15.13,
Aortic valve atresia,590,"Aortic valvar abnormality, Aortic atresia,",09.15.03,
"Aortic valve, Other",620,"Aortic valvar abnormality,",09.15.00,no exact in pdf
AP window (aortopulmonary window),140,"Aortopulmonary window,",09.04.01,no exact in pdf
Arrhythmia,1180,"Arrhythmia,",11.00.00,no exact in pdf
"Arrhythmia, Atrial, Atrial fibrillation",2440,"Macroreentrant atrial tachycardia (including atrial flutter), Atrial fibrillation,",11.03.08,no exact in pdf
"Arrhythmia, Atrial, Atrial flutter",2450,"Macroreentrant atrial tachycardia (including atrial flutter), Atrial flutter,",11.03.07,no exact in pdf
"Arrhythmia, Atrial, Other",2460,"Arrhythmia,",11.00.00,no exact in pdf
"Arrhythmia, Heart block",1185,"Conduction disturbance,",11.06.00,no exact in pdf
"Arrhythmia, Heart block, Acquired",1190,"Conduction disturbance, Complete atrioventricular block (3rd degree), Acquired complete atrioventricular block,",11.06.10,
"Arrhythmia, Heart block, Congenital",1200,"Conduction disturbance, Complete atrioventricular block (3rd degree), Congenital complete heart block,",11.06.16,
"Arrhythmia, Junctional",2050,"Rhythm disturbance at level of AV junction,",11.04.00,no exact in pdf
"Arrhythmia, Pacemaker, Indication for replacement",1220,"Pacemaker dysfunction-complication,, Pacemaker dysfunction-complication necessitating replacement,",11.11.00,
"Arrhythmia, Ventricular",2060,"Ventricular rhythm disturbance,",11.05.00,
"ASD, Common atrium (single atrium)",50,"Atrial septum abnormality, Common atrium (virtual absence of atrial septum),",05.06.01,
"ASD, Coronary sinus",40,"Atrial septum abnormality, Interatrial communication (ASD) through coronary sinus orifice,",05.05.03,
"ASD, Postoperative interatrial communication",2150,"Atrial septum abnormality: acquired, Postoperative interatrial communication,",15.10.79,
"ASD, Secundum",20,"Atrial septum abnormality, Atrial septal defect (ASD) within oval fossa (secundum),",05.04.02,
"ASD, Sinus venosus",30,"Atrial septum abnormality, Sinus venosus defect (ASD),",05.05.00,
"Atrial Isomerism, Left",1230,"Abnormal atrial arrangement, Left isomerism ('polysplenia'),",03.01.05,
"Atrial Isomerism, Right",1240,"Abnormal atrial arrangement, Right isomerism ('asplenia'),",03.01.04,
"AVC (AVSD), Complete (CAVSD)",100,"Atrioventricular septal defect (AVSD), Complete atrioventricular septal defect (AVSD) with atrial and ventricular components,",06.06.09,
"AVC (AVSD), Intermediate (transitional)",110,"Atrioventricular septal defect (AVSD), Intermediate atrioventricular septal defect (AVSD) with atrial and ventricular components and separate atrioventricular valvar orifices,",06.06.10,
"AVC (AVSD), Partial (incomplete) (PAVSD) (ASD, primum)",120,"Atrioventricular septal defect (AVSD), Partial atrioventricular septal defect (AVSD) with isolated atrial component (primum ASD),",06.06.01,
Cardiac tumor,1350,"Heart tumour,",10.03.01,
"Cardiac, Other",1560,"Cardiac abnormality,",01.01.39,no exact in pdf
"Cardiomyopathy (including dilated, restrictive, and hypertrophic)",740,"Cardiomyopathy,",10.10.01,
"Cardiomyopathy, End-stage congenital heart disease",750,"Myocardial failure in end stage congenital heart disease,",10.07.40,
Cardio-respiratory failure not secondary to known structural heart disease,2560,"Respiratory failure,",16.30.01,no exact in pdf
Chylothorax,1470,"Chylothorax,",16.01.07,
Coarctation of aorta,990,"Aortic arch abnormality, Aortic coarctation,",09.29.01,
