CHAANZ_SOURCE,PROCEDURE_IPCCC_R,IPCCC_CODE_R,PROCEDURE_STS_R,STS_CODE_R,PROC_ELIGIBILITY,implied_diagnosis,implied_code,implied_code_drt
David Celermajer and David Baker 05DEC2022,"Totally anomalous pulmonary venous connection repair,",12.00.00,TAPVC repair,280,1,TAPVC,04.08.05,04.08.05
David Celermajer and David Baker 05DEC2022,"Partially anomalous pulmonary venous connection repair,",12.00.02,PAPVC repair,260,1,PAPVC,04.07.01,04.07.01
David Celermajer and David Baker 05DEC2022,"Pulmonary vein stenosis repair,",12.00.03,Pulmonary venous stenosis repair,300,1,,,
David Celermajer and David Baker 05DEC2022,"Partially anomalous pulmonary venous connection repair, Scimitar syndrome (partially anomalous pulmonary venous connection) repair,",12.00.17,"PAPVC, Scimitar, Repair",270,1,Scimitar Syndrome,01.01.16,01.01.16
David Celermajer 18JUL2023,"Pulmonary vein procedure,",12.00.20,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary vein,",12.00.21,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in pulmonary vein,",12.00.22,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary vein using cutting balloon,",12.00.23,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary vein or pathway,",12.00.24,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in pulmonary vein or pathway,",12.00.25,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic venous pathway procedure (post Senning-Mustard),",12.00.29,"Atrial baffle procedure, Mustard or Senning revision",1145,1,d-TGA,01.05.01,01.05.01
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure,",12.00.30,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in superior caval vein (SVC),",12.00.36,Systemic venous stenosis repair,340,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Superior caval vein (SVC) procedure,",12.00.39,,Manual review required,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Inferior caval vein (IVC) procedure,",12.00.42,,Manual review required,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of systemic vein or pathway,",12.00.43,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in systemic vein or pathway,",12.00.44,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Coronary sinus procedure,",12.00.50,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Coronary sinus interatrial communication (ASD) repair,",12.00.55,,Manual review required,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Partially anomalous pulmonary venous connection repair, Partially anomalous pulmonary venous connection repair: baffle redirection to left atrium & systemic vein translocated to right atrial appendage (Warden),",12.00.78,"PAPVC repair, Baffle redirection to left atrium with systemic vein translocation (Warden) (SVC sewn",2120,1,PAPVC,04.07.01,04.07.01
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Anomalous systemic venous connection repair,",12.00.81,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Systemic venous stenosis repair,",12.00.83,Systemic venous stenosis repair,340,1,,,
David Celermajer and David Baker 05DEC2022,"Cardiopulmonary bypass for non-cardiac lesion,",12.00.92,Bypass for noncardiac lesion,1950,1,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication closure,",12.01.00,,Manual review required (likely one of below specific options),1,,,
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure,",12.01.01,,Manual review required (likely one of below specific options),1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Atrial septal defect (ASD) secundum closure with direct suture,",12.01.02,"ASD repair, Primary closure",20,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Atrial septal defect (ASD) secundum closure with patch,",12.01.03,"ASD repair, Patch",30,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure with transluminal device,",12.01.06,"ASD repair, Device",40,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer 18JUL2023,"Patent foramen ovale (PFO) closure with transluminal device,",12.01.07,"ASD repair, Device",40,0,PFO,05.03.01,05.03.01
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Interatrial communication closure: partial,",12.01.08,ASD partial closure,70,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Sinus venosus defect (ASD) closure,",12.01.10,,Manual review required,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septation procedure,",12.01.22,"ASD, Common atrium (single atrium), Septation",50,1,,,
David Celermajer and David Baker 05DEC2022,"Left atrial procedure,",12.01.30,"Cardiac procedure, Other",2010,1,,,
David Celermajer and David Baker 05DEC2022,"Left atrial procedure, Cor triatriatum (divided left atrium) repair,",12.01.31,Cor triatriatum repair,290,1,Cor Triatriatum,05.02.01,05.02.01
David Celermajer and David Baker 05DEC2022,"Supra-mitral valvar LA-ring excision,",12.01.32,"Mitral stenosis, Supravalvar mitral ring repair",840,1,Supravalvular Mitral Ring,05.02.02,05.02.02
David Celermajer and David Baker 05DEC2022,"Balloon atrial septostomy by pull back (Rashkind),",12.01.41,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",2580,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Interatrial communication creation-enlargement, Atrial septectomy: closed (Blalock Hanlon),",12.01.42,ASD creation/enlargement,60,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Interatrial communication creation-enlargement, Atrial septectomy,",12.01.43,ASD creation/enlargement,60,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer 18JUL2023,"Blade atrial septostomy,",12.01.44,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",2580,0,d-TGA,,
David Celermajer and David Baker 05DEC2022,"Transluminal fenestration of atrial septum-tunnel,",12.01.47,Atrial septal fenestration,80,1,,,
David Celermajer and David Baker 05DEC2022,"Patent foramen ovale (PFO) direct closure,",12.01.53,"PFO, Primary closure",10,1,PFO,05.03.01,05.03.01
David Celermajer and David Baker 05DEC2022,"Atrial baffle procedure,",12.01.57,,Manual review needed as too non-specific (may be 310 or 1145),1,d-TGA,01.05.01,01.05.01
David Celermajer 18JUL2023,"Right atrial procedure,",12.01.60,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication left open,",12.01.80,"Cardiac procedure, Other",2010,1,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication creation-enlargement,",12.01.90,ASD creation/enlargement,60,1,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication closure with transluminal device,",12.01.98,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",1560,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer 18JUL2023,"Tricuspid valvar procedure,",12.02.00,"Valve surgery, Other, Tricuspid",500,0,,,
David Celermajer 18JUL2023,"Tricuspid valvar procedure, Tricuspid leaflet (valvoplasty) procedure,",12.02.02,"Valvuloplasty, Tricuspid",460,0,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvar annuloplasty,",12.02.04,"Valvuloplasty, Tricuspid",460,0,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Ebstein malformation of tricuspid valve repair,",12.02.09,Ebstein's repair,465,1,Ebstein's Anomaly,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvar replacement,",12.02.11,"Valve replacement, Tricuspid (TVR)",470,0,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvectomy,",12.02.22,"Valve excision, Tricuspid (without replacement)",490,1,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvar closure,",12.02.70,"Valve closure, Tricuspid (exclusion, univentricular approach)",480,1,Complex CHD,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Ebstein malformation of tricuspid valve repair: tricuspid valve closure & shunt (Starnes),",12.02.77,Ebstein's repair,465,1,Ebstein's Anomaly,06.01.34,06.01.34
David Celermajer 18JUL2023,"Tricuspid valvar procedure, Tricuspid valve repair converted to tricuspid valvar replacement,",12.02.83,"Valvuloplasty converted to valve replacement in the same operation, Tricuspid",2280,0,,,
David Celermajer and David Baker 05DEC2022,"Mitral valvar procedure,",12.03.00,"Cardiac procedure, Other",2010,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral valvotomy,",12.03.01,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral leaflet (valvoplasty) procedure,",12.03.03,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral valvar annuloplasty,",12.03.04,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Balloon dilation of mitral valve,",12.03.10,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral valvar replacement,",12.03.11,"Valve replacement, Mitral (MVR)",850,0,,,
David Celermajer and David Baker 05DEC2022,"Mitral subvalvar apparatus procedure,",12.03.19,"Valve surgery, Other, Mitral",860,0,,,
David Celermajer and David Baker 05DEC2022,"Mitral valvar procedure, Mitral valve repair converted to mitral valvar replacement,",12.03.84,"Valvuloplasty converted to valve replacement in the same operation, Mitral",2260,1,,,
David Celermajer and David Baker 05DEC2022,"Transluminal mitral valve repair,",12.03.97,"Valvuloplasty, Mitral",830,1,,,
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure,",12.04.00,"Cardiac procedure, Other",2010,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure, Atrioventricular septal defect (AVSD): partial (primum ASD) repair,",12.04.01,"AVC (AVSD) repair, Partial (Incomplete) (PAVSD)",190,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure, Atrioventricular septal defect (AVSD): partial with isolated ventricular component (VSD) repair,",12.04.09,"AVC (AVSD) repair, Partial (Incomplete) (PAVSD)",190,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valve replacement,",12.04.18,"Valve replacement, Common atrioventricular valve",2230,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valvar leaflet (valvoplasty) procedure, Atrioventricular septal defect (AVSD): right atrioventricular valvar procedure,",12.04.20,,Manual review required,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valve repair converted to atrioventricular valvar replacement,",12.04.33,"Valvuloplasty converted to valve replacement in the same operation, Common atrioventricular valve",2250,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valvar leaflet (valvoplasty) procedure, Atrioventricular septal defect (AVSD): left atrioventricular valvar procedure,",12.04.40,"Valvuloplasty, Mitral",830,1,AVSD,06.06.00,06.06.00
