,International Paediatric and Congenital Cardiac Code - AEPC derived version - The Long List   Version 4.3,,,,,,,,,,,,,,,,,
,with ICD-9 & ICD-10 crossmapping and crossmap to EPCC Short List,,,,,,,,,,,,,,,,,
,1st May 2021,,,,,,,, ,,,,,,,,,
, ,,, ,,,,, ,,,,,,,,,
,Moved position,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
Section,Description ,go to,IPCCC ,ICD-9,ICD-9,ICD-10,ICD-10,Short List,Short List term,,,,,,,,,
,,, ,,additional,,additional,Code,,,,,,,,,,
1,Table of contents,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
, Broad generic terms for congenital heart disease ,to 2,not relevant ,,,,,,,,,,,,,,,
, Generic pathological cardiac and vascular terms ,to 3,not relevant,,,,,,,,,,,,,,,
, Congenital heart defects in sequential segmental order  ,to 5,not relevant,,,,,,,,,,,,,,,
," Hereditary, fetal, neonatal & noncardiac abnormalities associated with heart disease ",to 500,not relevant,,,,,,,,,,,,,,,
, Cardiothoracic acquired abnormalities and diseases ,to 600,not relevant,,,,,,,,,,,,,,,
, Patient treatment status and outcome,to 735,not relevant,,,,,,,,,,,,,,,
," Signs, Symptoms and Investigations of Heart Disease",to 740,not relevant,,,,,,,,,,,,,,,
, Rhythm and conduction disturbances   ,to 800,not relevant,,,,,,,,,,,,,,,
, Preprocedural Risk Factors and Quoted Procedural Risks,to 930,not relevant,,,,,,,,,,,,,,,
, Qualifiers - diagnostic and site specific,to 950,not relevant,,,,,,,,,,,,,,,
," Site of cardiac or vascular lesion, injury, tumour or procedure - qualifiers ",to 3205,not relevant,,,,,,,,,,,,,,,
, Cardiothoracic operations and interventions   ,to 1000,not relevant,,,,,,,,,,,,,,,
, Postoperative and cardiac support procedures & therapies,to 1565,not relevant,,,,,,,,,,,,,,,
," Chest wall, pleural, tracheal, bronchial & lung procedures  ",to 4200,not relevant,, ,,,,,,,,,,,,,
, Transluminal interventional & diagnostic catheter procedures and techniques ,to 1400,not relevant,,,,,,,,,,,,,,,
