code_id,code_id_clean,dagger_status,asterisk,valid,aust_code,ascii_desc,ascii_short_desc,effective_from,inactive,reactivated,sex,AgeL,AgeH,Atype,rare_use_flag,UnacceptDx,dagger_status_change,asterisk_change,valid_change,aust_code_change,ascii_desc_change,ascii_short_desc_change,sex_change,ageL_change,ageH_change,atype_change,rare_use_flag_change,UnacceptDx_change,Status
A00.0,A000,2,0,1,0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Cholera dt 01 biovar cholerae,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A00.1,A001,2,0,1,0,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera dt biovar eltor,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A00.9,A009,2,0,1,0,"Cholera, unspecified",Cholera unspecified,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A01.0,A010,2,0,1,0,Typhoid fever,Typhoid fever,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A01.1,A011,2,0,1,0,Paratyphoid fever A,Paratyphoid fever A,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A01.2,A012,2,0,1,0,Paratyphoid fever B,Paratyphoid fever B,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A01.3,A013,2,0,1,0,Paratyphoid fever C,Paratyphoid fever C,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A01.4,A014,2,0,1,0,"Paratyphoid fever, unspecified",Paratyphoid fever unspecified,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A02,A02,0,0,0,0,Other Salmonella infections,Other Salmonella infections,1/7/1998,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,UPDATED
A02.0,A020,2,0,1,0,Salmonella enteritis,Salmonella enteritis,1/7/1998,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A02.1,A021,2,0,1,0,Sepsis due to Salmonella,Sepsis due to Salmonella,1/7/1998,,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,UPDATED
A02.2,A022,2,0,1,0,Localised Salmonella infections,Localised Salmonella infections,1/7/1998,,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,UPDATED
A02.8,A028,2,0,1,0,Other specified Salmonella infections,Other specified Salmonella infections,1/7/1998,,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,UPDATED
A02.9,A029,2,0,1,0,"Salmonella infection, unspecified",Salmonella infection unspecified,1/7/1998,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A03.0,A030,2,0,1,0,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A03.1,A031,2,0,1,0,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A03.2,A032,2,0,1,0,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A03.3,A033,2,0,1,0,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A03.7,A037,2,0,1,1,Sepsis due to Shigella,Sepsis due to Shigella,1/7/2022,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW
A03.8,A038,2,0,1,0,Other shigellosis,Other shigellosis,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A03.9,A039,2,0,1,0,"Shigellosis, unspecified",Shigellosis unspecified,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A04.0,A040,2,0,1,0,Enteropathogenic Escherichia coli infection,Enteropathogenic E coli infection,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A04.1,A041,2,0,1,0,Enterotoxigenic Escherichia coli infection,Enterotoxigenic E coli infection,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A04.2,A042,2,0,1,0,Enteroinvasive Escherichia coli infection,Enteroinvasive E coli infection,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A04.3,A043,2,0,1,0,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic E coli infection,1/7/1998,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A04.4,A044,2,0,1,0,Other intestinal Escherichia coli infection,Other E coli infection,1/7/1998,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A04.5,A045,2,0,1,0,Campylobacter enteritis,Campylobacter enteritis,1/7/1998,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
A04.6,A046,2,0,1,0,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,1/7/1998,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,UPDATED
