code_id,code_id_clean,aust_code,ascii_desc,ascii_short_desc,effective_from,inactive,reactivated
"M8000/0",M80000,0,"Neoplasm, benign","Neoplm, benign",1/7/1998,,
"M8000/1",M80001,0,"Neoplasm, uncertain whether benign or malignant","Neoplm, ub/m",1/7/1998,,
"M8000/2",M80002,1,"Neoplasm, in situ","Neoplm, insit",1/7/2002,,
"M8000/3",M80003,0,"Neoplasm, malignant","Neoplm, malg",1/7/1998,,
"M8000/6",M80006,0,"Neoplasm, metastatic","Neoplm, met",1/7/1998,,
"M8000/9",M80009,0,"Neoplasm, malignant, uncertain whether primary or metastatic","Neoplm, malg, up/m",1/7/1998,,
"M8001/0",M80010,0,"Tumour cells, benign","Tumour cells, benign",1/7/1998,,
"M8001/1",M80011,0,"Tumour cells, uncertain whether benign or malignant","Tumour cells, ub/m",1/7/1998,,
"M8001/2",M80012,1,"Tumour cells, in situ","Tumour cells, in situ",1/7/2013,,
"M8001/3",M80013,0,"Tumour cells, malignant","Tumour cells, malg",1/7/1998,,
"M8001/6",M80016,1,"Tumour cells, metastatic","Tumour cells, met",1/7/2013,,
"M8001/9",M80019,1,"Tumour cells, uncertain whether primary or metastatic","Tumour cells, up/m",1/7/2013,,
"M8002/1",M80021,1,"Tumour, small cell type, uncertain whether benign or malignant","Tum, sml cell type, ub/m",1/7/2002,,
"M8002/2",M80022,1,"Tumour, small cell type, in situ","Tum, sml cell type, insit",1/7/2002,,
"M8002/3",M80023,0,"Malignant tumour, small cell type","Malg tum, sm cell type",1/7/1998,,
"M8002/6",M80026,1,"Malignant tumour, small cell type, metastatic","Malg tum, sm cell type, met",1/7/2002,,
"M8002/9",M80029,1,"Malignant tumour, small cell type, uncertain whether primary or metastatic","Malg tum, sm cell type, up/m",1/7/2002,,
"M8003/0",M80030,1,"Tumour, giant cell type, benign","Tum, giant cell type, benign",1/7/2013,,
"M8003/1",M80031,1,"Tumour, giant cell type, uncertain whether benign or malignant","Tum, giant cell type, ub/m",1/7/1998,,
"M8003/2",M80032,1,"Tumour, giant cell type, in situ","Tum, giant cell type, insit",1/7/2002,,
"M8003/3",M80033,0,"Malignant tumour, giant cell type","Malg tum, giant cell type",1/7/1998,,
