code_id,code_id_clean,ascii_desc,block,block_desc,axis_2_desc,axis_1_desc,chapter_id,chapter_range,chapter_desc
40803-00,4080300,Intracranial stereotactic localisation,1,"Examination of skull, meninges or brain",Examination,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40903-00,4090300,Neuroendoscopy,1,"Examination of skull, meninges or brain",Examination,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39003-00,3900300,Cisternal puncture,2,Cranial tap or puncture,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39006-00,3900600,Ventricular puncture,2,Cranial tap or puncture,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39009-00,3900900,Tap for subdural haemorrhage,2,Cranial tap or puncture,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39703-03,3970303,Aspiration of brain cyst,2,Cranial tap or puncture,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90000-00,9000000,Other cranial puncture,2,Cranial tap or puncture,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39015-00,3901500,Insertion of external ventricular drain,3,Insertion of intracranial cerebrospinal fluid devices,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39015-01,3901501,Insertion of ventricular reservoir,3,Insertion of intracranial cerebrospinal fluid devices,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39015-02,3901502,"Insertion of intracranial pressure [ICP] monitoring device, with monitoring",3,Insertion of intracranial cerebrospinal fluid devices,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90001-00,9000100,Removal of external ventricular drain,4,Removal of intracranial cerebrospinal fluid devices,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90001-01,9000101,Removal of ventricular reservoir,4,Removal of intracranial cerebrospinal fluid devices,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90001-02,9000102,Removal of intracranial pressure [ICP] monitoring device,4,Removal of intracranial cerebrospinal fluid devices,"Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40003-00,4000300,Insertion of ventriculo-atrial shunt,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40003-01,4000301,Insertion of ventriculopleural shunt,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40003-02,4000302,Insertion of ventriculoperitoneal shunt,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40003-03,4000303,Insertion of ventricular shunt to other extracranial site,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40003-04,4000304,Insertion of cisternal shunt,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40009-03,4000903,Removal of ventricular shunt,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40009-04,4000904,Removal of cisternal shunt,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90002-00,9000200,Irrigation of cerebrospinal fluid shunt,5,"Irrigation, insertion or removal of intracranial cerebrospinal fluid shunt","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40709-00,4070900,Insertion of intracranial electrode via burr holes,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40709-01,4070901,Removal of intracranial electrode via burr holes,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40709-02,4070902,Adjustment of intracranial electrodes via burr holes,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40709-03,4070903,Replacement of intracranial electrodes via burr holes,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40712-00,4071200,Insertion of intracranial electrode via craniotomy,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40712-01,4071201,Removal of intracranial electrode via craniotomy,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40712-02,4071202,Adjustment of intracranial electrodes via craniotomy,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40712-03,4071203,Replacement of intracranial electrodes via craniotomy,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
51111-00,5111100,Insertion of skull calipers,6,"Other application, insertion or removal procedures on skull, meninges or brain","Application, insertion, removal","Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39012-00,3901200,Burr holes,7,Incisional exploration of meninges or brain,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39600-00,3960000,Drainage of intracranial haemorrhage,8,Intracranial drainage,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39703-01,3970301,Drainage of intracranial lesion or cyst,8,Intracranial drainage,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39900-00,3990000,Drainage of intracranial infection,8,Intracranial drainage,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39706-01,3970601,Decompression of intracranial tumour via osteoplastic craniotomy,9,Intracranial decompression,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40015-00,4001500,Subtemporal decompression,9,Intracranial decompression,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40106-00,4010600,Hind brain decompression,9,Intracranial decompression,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40106-01,4010601,Posterior cranial fossa decompression,9,Intracranial decompression,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39721-00,3972100,Postoperative re-opening of craniotomy or craniectomy site,10,Postoperative reopening of craniotomy or craniectomy site,Incision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
35412-00,3541200,Endovascular occlusion of cerebral aneurysm or arteriovenous malformation,11,Destruction of intracranial aneurysm or other vascular lesion,Destruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39800-00,3980000,Clipping of cerebral aneurysm,11,Destruction of intracranial aneurysm or other vascular lesion,Destruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39806-00,3980600,Clipping of intracranial proximal artery,11,Destruction of intracranial aneurysm or other vascular lesion,Destruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39812-00,3981200,Ligation of cervical vessel for intracranial aneurysm,11,Destruction of intracranial aneurysm or other vascular lesion,Destruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39815-00,3981500,Obliteration of carotid cavernous fistula,11,Destruction of intracranial aneurysm or other vascular lesion,Destruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39703-00,3970300,Biopsy of brain via burr holes,12,Biopsy of brain or meninges,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39703-02,3970302,Biopsy of cerebral meninges via burr holes,12,Biopsy of brain or meninges,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39706-00,3970600,Biopsy of brain via osteoplastic craniotomy,12,Biopsy of brain or meninges,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39706-02,3970602,Biopsy of cerebral meninges via osteoplastic craniotomy,12,Biopsy of brain or meninges,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40903-01,4090301,Biopsy of brain via neuroendoscopy,12,Biopsy of brain or meninges,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39700-00,3970000,Excision of lesion of skull,13,Excision of lesion of skull,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39906-00,3990600,Craniectomy for infection of skull,13,Excision of lesion of skull,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39603-00,3960300,Removal of intracranial haematoma via osteoplastic craniotomy,14,Removal of intracranial haematoma or abscess,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39603-01,3960301,Removal of intracranial haematoma with craniectomy,14,Removal of intracranial haematoma or abscess,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39903-00,3990300,Removal of intracranial abscess,14,Removal of intracranial haematoma or abscess,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39709-00,3970900,Removal of lesion of cerebrum,15,Removal of intracranial lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39709-01,3970901,Removal of lesion of brain stem,15,Removal of intracranial lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39709-02,3970902,Removal of lesion of cerebellum,15,Removal of intracranial lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39712-00,3971200,Removal of lesion of cerebral meninges,15,Removal of intracranial lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39712-03,3971203,Removal of intraventricular lesion,15,Removal of intracranial lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39712-04,3971204,Removal of other intracranial lesion,15,Removal of intracranial lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
41575-00,4157500,Removal of lesion of cerebellopontine angle,15,Removal of intracranial lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39718-00,3971800,Removal of brain cyst,16,Other intracranial excision,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39803-00,3980300,Excision of intracranial arteriovenous malformation,16,Other intracranial excision,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40700-00,4070000,Anterior section of corpus callosum,16,Other intracranial excision,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40703-00,4070300,Corticectomy of brain,16,Other intracranial excision,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40703-01,4070301,Topectomy,16,Other intracranial excision,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40703-02,4070302,Partial lobectomy of brain,16,Other intracranial excision,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40706-00,4070600,Hemispherectomy,16,Other intracranial excision,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39640-00,3964000,Removal of lesion involving anterior cranial fossa,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39642-00,3964200,Removal of lesion involving anterior cranial fossa with clearance of paranasal sinus extension,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39646-00,3964600,Removal of lesion involving anterior cranial fossa with radical clearance of paranasal sinus and orbital fossa extensions,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39650-00,3965000,Removal of lesion involving middle cranial and infratemporal fossae,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39653-00,3965300,Removal of lesion of petroclivus and clivus,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39658-00,3965800,Excision of lesion of clivus,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39660-02,3966002,Excision of lesion of cavernous sinus,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39662-02,3966202,Excision of lesion of foramen magnum,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
41581-00,4158100,Removal of lesion involving infratemporal fossa,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
