code_id,code_id_clean,block,ascii_desc,ascii_short_desc,effective_from,inactive,sex,AgeL,AgeH,Atype,rare_use_flag
10801-00,1080100,1837,"Investigation, evaluation or fitting of contact lenses","Investgtn evaln/fitting contact lenses",1/7/1998,1/7/2000,,,,,0
10816-00,1081600,1837,Refitting of contact lenses,Refitting of contact lenses,1/7/1998,1/7/2000,,,,,0
11000-00,1100000,1825,Electroencephalography,Electroencephalography,1/7/1998,,,,,,0
11003-00,1100300,1825,"Electroencephalography, 3 or more hours duration",EEG 3 or more hours duration,1/7/1998,,,,,,0
11006-00,1100600,1825,Temporosphenoidal electroencephalography,Temporosphenoidal electroencephalography,1/7/1998,,,,,,0
11009-00,1100900,1825,Electrocorticography,Electrocorticography,1/7/1998,,,,,,0
11012-00,1101200,1826,Electromyography [EMG],Electromyography [EMG],1/7/1998,,,,,,0
11012-01,1101201,1826,Conduction studies on 1 nerve,Conduction studies on 1 nerve,1/7/1998,,,,,,0
11012-02,1101202,1826,Conduction studies on 1 nerve with electromyography,Conduction studies on 1 nerve with EMG,1/7/1998,,,,,,0
11015-00,1101500,1826,Conduction studies on 2 or 3 nerves,Conduction studies on 2 or 3 nerves,1/7/1998,,,,,,0
11015-01,1101501,1826,Conduction studies on 2 or 3 nerves with electromyography,Conduction studies on 2 or 3 nerve w EMG,1/7/1998,,,,,,0
11018-00,1101800,1826,Conduction studies on 4 or more nerves,Conduction studies on 4 or more nerves,1/7/1998,,,,,,0
11018-01,1101801,1826,Conduction studies on 4 or more nerves with electromyography,Conduction studies >= 4 nerves w EMG,1/7/1998,,,,,,0
11018-02,1101802,1826,Conduction studies with electromyography of single fibres of nerves and muscles,"Conductn stud, EMG sgl fibres nrv & musc",1/7/1998,,,,,,0
11021-00,1102100,1826,Electromyography with quantitative computerised analysis,EMG with quantitative comput analysis,1/7/1998,,,,,,0
11021-01,1102101,1826,Repetitive neuromuscular conduction studies,Repetitive neuromuscular conduction stud,1/7/1998,,,,,,0
11021-02,1102102,1826,Repetitive neuromuscular conduction studies with quantitative computerised analysis electromyography,Repetitive neuromusc conductn stud w EMG,1/7/1998,,,,,,0
11024-00,1102400,1827,"Investigation of central nervous system evoked responses, 1 or 2 studies",Investgtn CNS evoked respn 1 or 2 stud,1/7/1998,,,,,,0
11027-00,1102700,1827,"Investigation of central nervous system evoked responses, 3 or more studies",Investigation CNS evoked respn >= 3 stud,1/7/1998,,,,,,0
11200-00,1120000,1835,Provocative test for glaucoma,Provocative test for glaucoma,1/7/1998,,,,,,0
11203-00,1120300,1835,Tonography for glaucoma,Tonography for glaucoma,1/7/1998,1/7/2017,,,,,0
11204-00,1120400,1835,Electroretinography [ERG],Electroretinography [ERG],1/7/2004,,,,,,0
11205-00,1120500,1835,Electro-oculography [EOG],Electro-oculography [EOG],1/7/2004,,,,,,0
11206-00,1120600,1835,Electroretinography [ERG],Electroretinography [ERG],1/7/1998,1/7/2004,,,,,0
11206-01,1120601,1835,Electro-oculography [EOG],Electro-oculography [EOG],1/7/1998,1/7/2004,,,,,0
11209-00,1120900,1835,Electroretinography with electro-oculography,"Electroretinography, electro-oculography",1/7/1998,1/7/2004,,,,,0
11210-00,1121000,1835,Pattern electroretinography,Pattern electroretinography,1/7/2004,,,,,,0
11211-00,1121100,1831,Dark adaptation study,Dark adaptation study,1/7/2004,,,,,,0
11212-00,1121200,1835,Examination of optic fundi,Examination of optic fundi,1/7/1998,1/7/2017,,,,,0
11215-00,1121500,1990,Retinal angiography,Retinal angiography,1/7/1998,,,,,,0
11218-00,1121800,1990,Retinal photography of both eyes,Retinal photography of both eyes,1/7/1998,1/7/2019,,,,,0
11219-00,1121900,2016,Optical coherence tomography,Optical coherence tomography,1/7/2019,,,,,,0
11221-00,1122100,1832,"Full quantitative computerised perimetry, bilateral",Full quantitative comput perimetry bil,1/7/1998,,,,,,0
11224-00,1122400,1832,"Full quantitative computerised perimetry, unilateral",Full quantitatv comput perimetry uni,1/7/1998,,,,,,0
11235-00,1123500,1835,Examination of eye by impression cytology of cornea,Exam eye by impression cytology cornea,1/7/1998,,,,,,0
11240-00,1124000,1940,Unidimensional ultrasound of orbital contents,"Unidimensional u/s of orbital contents",1/7/2002,1/7/2004,,,,,0
11240-01,1124001,1835,Partial coherence interferometry,Partial coherence interferometry,1/7/2008,,,,,,0
11300-00,1130000,1839,Brain stem evoked response audiometry,Brain stem evoked response audiometry,1/7/1998,,,,,,0
11303-00,1130300,1840,Electrocochleography by extratympanic method,"Electrocochleography, extratympanic meth",1/7/1998,,,,,,0
11304-00,1130400,1840,Electrocochleography by transtympanic method,"Electrocochleography, transtympanic meth",1/7/1998,,,,,,0
11306-00,1130600,1843,Other audiometry,Other audiometry,1/7/1998,,,,,,0
11309-00,1130900,1836,"Air conduction audiometry, standard technique","Air conduction audiometry, std tech",1/7/1998,,,,,,0
11309-01,1130901,1836,Air conduction audiometry using visual reinforcement,Air conductn audiometry visual reinfrcmt,1/7/2000,,,,,,0
