code_id,code_id_clean,block,ascii_desc,ascii_short_desc,effective_from,inactive,sex,AgeL,AgeH,Atype,rare_use_flag,block_change,ascii_desc_change,ascii_short_desc_change,sex_change,ageL_change,ageH_change,atype_change,rare_use_flag_change,Status
11003-00,1100300,1825,"Electroencephalography, 3 or more hours duration",EEG 3 or more hours duration,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
11018-00,1101800,1826,Conduction studies on 4 or more nerves,Conduction studies on 4 or more nerves,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
11018-01,1101801,1826,Conduction studies on 4 or more nerves with electromyography,Conduction studies >= 4 nerves w EMG,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
11027-00,1102700,1827,"Investigation of central nervous system evoked responses, 3 or more studies",Investigation CNS evoked respn >= 3 stud,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
11503-14,1150314,1849,Measurement of ventilatory or occlusion pressure response,"Measure ventilatry / occlus press respn",1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
11503-16,1150316,1849,"Continuous monitoring of pulmonary function, 6 or more hours duration",Continuous monitor pulmonary fn >= 6 hr,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
11810-00,1181000,1859,Measurement of gastro-oesophageal reflux involving 24 hour or more pH monitoring,Measure gastoesph reflux >= 24 hr pH,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
12000-00,1200000,1864,Skin sensitivity testing using 1 to 20 allergens,Skin sensitivity test usg 1 to 20 allrgn,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
12003-00,1200300,1864,Skin sensitivity testing using 21 or more allergens,Skin sensitivity test usg >= 21 allrgn,1/7/1998,,,,,,0,0,1,0,0,0,0,0,0,UPDATED
12012-01,1201201,1865,Epicutaneous patch testing using 1 to 24 allergens,Epicut patch test usg 1 to 24 allergens,1/7/2019,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
12017-00,1201700,1865,Epicutaneous patch testing using 25 to 49 allergens,Epicut patch test usg 25 to 49 allergens,1/7/2019,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
