block,ascii_desc,ascii_short_desc,effective_from,inactive
1,"Examination of skull, meninges or brain","Examination of skull, meninges or brain",1/7/1998,
10,Postoperative reopening of craniotomy or craniectomy site,"Postop reopening craniotomy/craniectomy",1/7/1998,
1000,"Other repair procedures on abdomen, peritoneum or omentum","Oth repair proc on abdo/peritnm/omentum",1/7/1998,
1001,"Revision procedures on abdomen, peritoneum or omentum","Revision proc on abdo/peritnm/omentum",1/7/1998,
1002,Procedures for hydatid cyst of peritoneum or abdominal organs,"Proc hydatid cyst of peritnm/abdo organs",1/7/1998,
1003,Procedures for gastroschisis,Procedures for gastroschisis,1/7/1998,
1004,"Other procedures on abdomen, peritoneum or omentum","Other proc on abdo/peritnm/omentum",1/7/1998,
1005,Panendoscopy,Panendoscopy,1/7/1998,
1006,Panendoscopy with removal of foreign body,Panendoscopy w removal of foreign body,1/7/1998,
1007,Panendoscopy with destruction,Panendoscopy with destruction,1/7/1998,
1008,Panendoscopy with excision,Panendoscopy with excision,1/7/1998,
1009,Repair procedures on other and multiple sites of digestive system,Repair proc oth & mult sites digest sys,1/7/1998,
1010,Procedures for Hirschsprung's Disease,Procedures for Hirschsprung's Disease,1/7/1998,1/7/2002
1011,Other procedures on digestive system,Other procedures on digestive system,1/7/1998,
1040,Examination procedures on kidney,Examination procedures on kidney,1/7/1998,
1041,Manipulation or extraction of calculus of kidney,Manip or extr calculus of kidney,1/7/1998,
1042,"Other application, insertion or removal procedures on kidney","Oth applicn/ins/removal proc on kidney",1/7/1998,
1043,Percutaneous nephroscopy,Percutaneous nephroscopy,1/7/1998,
1044,Nephrolithotomy with removal of calculi,Nephrolithotomy with removal of calculi,1/7/1998,
1045,Other incision procedures on kidney,Other incision procedures on kidney,1/7/1998,
1046,Destruction procedures on kidney,Destruction procedures on kidney,1/7/1998,
1047,Biopsy of kidney,Biopsy of kidney,1/7/1998,
1048,Partial nephrectomy,Partial nephrectomy,1/7/1998,
1049,Complete nephrectomy,Complete nephrectomy,1/7/1998,
1050,Complete nephrectomy for transplantation,Complete nephrectomy for transplantation,1/7/1998,
1051,Complete nephrectomy for removal of transplanted kidney,"Nephrectomy for R/O transplanted kidney",1/7/1998,
1052,Complete nephrectomy complicated by previous surgery on same kidney,Nephrectomy prev surg same kidney,1/7/1998,
1053,Radical nephrectomy,Radical nephrectomy,1/7/1998,
1054,Nephroureterectomy,Nephroureterectomy,1/7/1998,
1055,Other excision procedures on kidney,Other excision procedures on kidney,1/7/1998,
1056,Nephrostomy or pyelostomy,Nephrostomy or pyelostomy,1/7/1998,
1057,Pyeloplasty,Pyeloplasty,1/7/1998,
1058,Kidney transplantation,Kidney transplantation,1/7/1998,
1059,Other repair procedures on kidney,Other repair procedures on kidney,1/7/1998,
1060,Haemodialysis,Haemodialysis,1/7/1998,
1061,Peritoneal dialysis,Peritoneal dialysis,1/7/1998,
1062,Procedures for establishment or maintenance of peritoneal dialysis,"Proc est/maintenance peritoneal dialysis",1/7/1998,
1063,Other interventions for renal dialysis,Other interventions for renal dialysis,1/7/1998,
1064,Other procedures on kidney,Other procedures on kidney,1/7/1998,
1065,Examination procedures on ureter,Examination procedures on ureter,1/7/1998,
1066,Endoscopic ureteric catheterisation,Endoscopic ureteric catheterisation,1/7/1998,
1067,"Endoscopic insertion, replacement or removal of ureteric stent","Endosc ins, replace, R/O ureteric stent",1/7/1998,
1068,Endoscopic manipulation or extraction of ureteric calculus,"Endoscopic manip/extr ureteric calculus",1/7/1998,
1069,"Other application, insertion or removal procedures on ureter","Other applicn/ins/removal proc on ureter",1/7/1998,
1070,Exploration of ureter,Exploration of ureter,1/7/1998,
1071,Ureterolysis,Ureterolysis,1/7/1998,
1072,Ureterolithotomy,Ureterolithotomy,1/7/1998,
1073,Other incision procedures on ureter,Other incision procedures on ureter,1/7/1998,
1074,Destruction procedures on ureter,Destruction procedures on ureter,1/7/1998,
1075,Biopsy of ureter,Biopsy of ureter,1/7/1998,
1076,Ureterectomy,Ureterectomy,1/7/1998,
1077,Other excision procedures on ureter,Other excision procedures on ureter,1/7/1998,
1078,Ureterolysis with repositioning of ureter,Ureterolysis w repositioning of ureter,1/7/1998,
1079,Repair of divided ureter,Repair of divided ureter,1/7/1998,
1080,Transplantation of ureter into skin,Transplantation of ureter into skin,1/7/1998,
1081,Transplantation of ureter into other ureter,Transplantation ureter into other ureter,1/7/1998,
1082,Transplantation of ureter into intestine,Transplantation of ureter into intestine,1/7/1998,
1083,Transplantation of ureter into isolated bowel segment,Trnsplt ureter into isolated bowel seg,1/7/1998,1/7/2002
1084,Reimplantation of ureter into bladder,Reimplantation of ureter into bladder,1/7/1998,
1085,Reimplantation of ureter into bladder with repair,Reimplantation ureter into blader w rep,1/7/1998,
1086,Other repair procedures on ureter,Other repair procedures on ureter,1/7/1998,
1087,Revision procedures on ureter,Revision procedures on ureter,1/7/1998,
1088,Other procedures on ureter,Other procedures on ureter,1/7/1998,
1089,Examination procedures on bladder,Examination procedures on bladder,1/7/1998,
1090,Urinary catheterisation,Urinary catheterisation,1/7/1998,
1091,Implantation or removal of electronic bladder stimulator,"Impl/removal electronic bladder stimlr",1/7/1998,
1092,"Other application, insertion or removal procedures on bladder","Oth applicn/ins/removal proc on bladder",1/7/1998,
1093,Cystotomy,Cystotomy,1/7/1998,
1094,Cystolithotomy,Cystolithotomy,1/7/1998,
1095,Other incision procedures on bladder,Other incision procedures on bladder,1/7/1998,
1096,Destruction procedures on bladder,Destruction procedures on bladder,1/7/1998,
1097,Endoscopic destruction of bladder lesion or tissue,"Endosc destruction bladder lesion/tissue",1/7/1998,1/7/2010
1098,Biopsy of bladder,Biopsy of bladder,1/7/1998,
1099,Removal of foreign body from bladder,Removal of foreign body from bladder,1/7/1998,
11,Destruction of intracranial aneurysm or other vascular lesion,"Dest intrcran aneurysm/other vasc lesion",1/7/1998,
110,"Application, insertion or removal procedures on thyroid or parathyroid gland","Applicn ins & R/O proc thyroid/parathyrd",1/7/1998,
1100,Endoscopic resection of bladder lesion or tissue,"Endoscopic resec bladder lesion/tissue",1/7/1998,
1101,Endoscopic resection of bladder neck,Endoscopic resection of bladder neck,1/7/1998,
1102,Cystectomy,Cystectomy,1/7/1998,
1103,Other excision procedures on bladder,Other excision procedures on bladder,1/7/1998,
1104,Repair of ruptured bladder,Repair of ruptured bladder,1/7/1998,
1105,Closure of fistula of bladder,Closure of fistula of bladder,1/7/1998,
1106,Repair of bladder exstrophy,Repair of bladder exstrophy,1/7/1998,
1107,Enlargement of bladder,Enlargement of bladder,1/7/1998,
1108,Other repair procedures on bladder,Other repair procedures on bladder,1/7/1998,
1109,Procedures for male stress incontinence,Procedures for male stress incontinence,1/7/1998,
111,Incision procedures on thyroid,Incision procedures on thyroid,1/7/1998,
1110,Procedures for female stress incontinence,Proc for female stress incontinence,1/7/1998,
1111,Other procedures on bladder,Other procedures on bladder,1/7/1998,
1112,Examination procedures on urethra,Examination procedures on urethra,1/7/1998,
1113,"Insertion, replacement or removal of artificial urinary sphincter","Ins/replace/removal artf urin sphincter",1/7/1998,
1114,"Other application, insertion or removal procedures on urethra","Oth applicn/ins/removal proc on urethra",1/7/1998,
1115,Incision procedures on urethra,Incision procedures on urethra,1/7/1998,
1116,Destruction procedures on urethra,Destruction procedures on urethra,1/7/1998,
1117,Biopsy of urethra,Biopsy of urethra,1/7/1998,
1118,Other excision procedures on urethra,Other excision procedures on urethra,1/7/1998,
1119,Closure of fistula of urethra,Closure of fistula of urethra,1/7/1998,
