"section","section_name","go_to","ipccc_name","ipccc_code","epcc_code","epcc_name","icd_10","icd_10_additional","icd_9","icd_9_additional"
"1","Table of contents","to 2","Broad generic terms for congenital heart disease","not relevant",,,,,,
"1","Table of contents","to 3","Generic pathological cardiac and vascular terms","not relevant",,,,,,
"1","Table of contents","to 5","Congenital heart defects in sequential segmental order","not relevant",,,,,,
"1","Table of contents","to 500","Hereditary, fetal, neonatal & noncardiac abnormalities associated with heart disease","not relevant",,,,,,
"1","Table of contents","to 600","Cardiothoracic acquired abnormalities and diseases","not relevant",,,,,,
"1","Table of contents","to 735","Patient treatment status and outcome","not relevant",,,,,,
"1","Table of contents","to 740","Signs, Symptoms and Investigations of Heart Disease","not relevant",,,,,,
"1","Table of contents","to 800","Rhythm and conduction disturbances","not relevant",,,,,,
"1","Table of contents","to 930","Preprocedural Risk Factors and Quoted Procedural Risks","not relevant",,,,,,
"1","Table of contents","to 950","Qualifiers - diagnostic and site specific","not relevant",,,,,,
"1","Table of contents","to 3205","Site of cardiac or vascular lesion, injury, tumour or procedure - qualifiers","not relevant",,,,,,
"1","Table of contents","to 1000","Cardiothoracic operations and interventions","not relevant",,,,,,
"1","Table of contents","to 1565","Postoperative and cardiac support procedures & therapies","not relevant",,,,,,
"1","Table of contents","to 4200","Chest wall, pleural, tracheal, bronchial & lung procedures","not relevant",,,,,,
"1","Table of contents","to 1400","Transluminal interventional & diagnostic catheter procedures and techniques","not relevant",,,,,,
"1","Table of contents","to 1600","Procedural qualifier terms including materials and sizes","not relevant",,,,,,
"1","Table of contents","to 1760","Medical therapy for cardiovascular diseases","not relevant",,,,,,
"1","Table of contents","to 1800","Postprocedural complications and sequelae","not relevant",,,,,,
"1","Table of contents","to 3000","Normal terms: structure and function","not relevant",,,,,,
"1","Table of contents","to 3200","General site specific qualifiers","not relevant",,,,,,
"1","Table of contents","to 4000","Lung and non-cardiac thoracic disease","not relevant",,,,,,
"1","Table of contents","to 4200","Thoracic, pleural, tracheal, bronchial, lung & gastro-oesophageal procedures","not relevant",,,,,,
"2","Broad generic terms for congenital heart disease","to 1","Congenital cardiovascular abnormality,","01.01.34","01.01.39","Cardiac abnormality,","Q24.9",,"746.9",
"2","Broad generic terms for congenital heart disease","to 1","Congenital heart disease,","01.01.30","01.01.39","Cardiac abnormality,","Q24.9",,"746.9",
"2","Broad generic terms for congenital heart disease","to 1","Acyanotic congenital heart disease,","01.01.31","01.01.32","Cardiac abnormality,","Q24.9",,"746.9",
"2","Broad generic terms for congenital heart disease","to 1","Cyanotic congenital heart disease,","01.01.32","01.01.39","Cardiac abnormality,","Q24.9",,"746.9",
"2","Broad generic terms for congenital heart disease","to 1","Complex heart abnormality,","01.01.21","01.01.39","Cardiac abnormality,","Q20.9",,"746.9",
"2","Broad generic terms for congenital heart disease","to 1","Left heart obstruction at multiple sites (including Shone syndrome),","01.01.33","01.01.33","Left heart obstruction at multiple sites (including Shone syndrome),","Q20.9",,"746.9",
"2","Broad generic terms for congenital heart disease","to 1","Structural developmental anomaly (congenital) of heart and-or great vessels and related acquired abnormality,","01.01.38","01.01.39","Cardiac abnormality,","Q20.9",,"746.9",
"2","Broad generic terms for congenital heart disease","to 1","Structural developmental anomaly of heart and-or great vessels,","01.01.59","01.01.59","Structural developmental anomaly of heart and-or great vessels,","Q20.9",,"746.9",
"3","Generic pathological cardiac and vascular terms","to 4","General pathological & physiological valve terms","not relevant",,,,,,
"3","Generic pathological cardiac and vascular terms","to 1","Isomerism,","01.03.12",,,,,,
"3","Generic pathological cardiac and vascular terms","to 38","Isomerism of atrial appendages,","01.03.08","01.03.06","Abnormal atrial arrangement,","Q20.6",,"746.8",
"3","Generic pathological cardiac and vascular terms","to 1","Superior caval vein (superior caval vein (SVC)) occlusion,","04.01.21","04.01.00","Superior caval vein (SVC) abnormality,","Q26.9",,"747.4",
"3","Generic pathological cardiac and vascular terms","to 960","Superior caval vein (SVC) stenosis,","04.01.22","04.01.00","Superior caval vein (SVC) abnormality,","Q26.9",,"747.4",
"3","Generic pathological cardiac and vascular terms","to 1","Inferior caval vein (IVC) occlusion,","04.03.21","04.03.00","Inferior caval vein (IVC) abnormality,","Q26.9",,"747.4",
"3","Generic pathological cardiac and vascular terms","to 960","Inferior caval vein (IVC) stenosis,","04.03.22","04.03.00","Inferior caval vein (IVC) abnormality,","Q26.9",,"747.4",
"3","Generic pathological cardiac and vascular terms","to 976","Aneurysm,","01.01.61","01.01.61","Aneurysm,","I72.9",,"442.9",
"3","Generic pathological cardiac and vascular terms","to 976","Heart aneurysm,","01.01.62","01.01.61","Aneurysm,","I25.3",,"414.1",
"3","Generic pathological cardiac and vascular terms","to 976","Heart wall aneurysm,","01.01.63","01.01.61","Aneurysm,","I25.3",,"414.1",
"3","Generic pathological cardiac and vascular terms","to 976","Ventricular aneurysm,","01.01.64","01.01.61","Aneurysm,","I25.3",,"414.1",
"3","Generic pathological cardiac and vascular terms","to 976","Right ventricular aneurysm,","07.01.14","07.01.14","Right ventricular aneurysm,","I25.3",,"414.1",
"3","Generic pathological cardiac and vascular terms","to 976","Left ventricular aneurysm,","07.06.13","07.06.13","Left ventricular aneurysm,","I25.3",,"414.1",
