"","epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq","icd10_seq","icd10_seq_max"
"1","Normal heart,","01.01.00","nc",NA,"nc",NA,"Normal heart","Diagnostic congenital and generic cardiac codes","2",1,11
"2","Laevocardia: heart predominantly in left hemithorax,","02.01.03","nc",NA,"nc",NA,"Levocardia","Diagnostic congenital and generic cardiac codes","3",2,11
"3","Normal atrial arrangement (situs), atrioventricular & ventriculo-arterial connections,","01.03.10","nc",NA,"nc",NA,NA,"Diagnostic congenital and generic cardiac codes","4",3,11
"4","Usual atrial arrangement (atrial situs solitus),","01.03.00","nc",NA,"nc",NA,NA,"Diagnostic congenital and generic cardiac codes","5",4,11
"5","Concordant ventriculo-arterial connections,","01.05.00","nc",NA,"nc",NA,NA,"Diagnostic congenital and generic cardiac codes","6",5,11
"6","Innocent murmur,","10.12.01","785.2",NA,"R01.0",NA,NA,"Diagnostic congenital and generic cardiac codes","7",1,1
"7","Position-orientation of heart abnormal,","02.01.09","746.8",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of position and connection of heart","2",1,21
"8","Dextrocardia: heart predominantly in right hemithorax,","02.01.02","746.8",NA,"Q24.0",NA,"Dextrocardia","Abnormalities of position and connection of heart","3",1,1
"9","Midline heart (mesocardia),","02.01.04","746.8",NA,"Q24.8",NA,"Mesocardia","Abnormalities of position and connection of heart","4",2,21
"10","Position or morphology of thoraco-abdominal organs abnormal,","03.01.09","759.9",NA,"Q89.9",NA,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart","5",1,2
"11","Lung anomaly,","03.02.09","748.9",NA,"Q33.8",NA,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart","6",1,1
"12","Functionally congenital single lung,","03.02.14","748.5",NA,"Q33.2",NA,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart","7",1,1
"13","Tracheobronchial anomaly,","03.03.05","748.3",NA,"Q32.4",NA,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart","8",1,1
"14","Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),","03.01.02","759.3",NA,"Q20.6",NA,"Heterotaxia syndrome","Abnormalities of position and connection of heart","9",1,5
"15","Abnormal atrial arrangement,","01.03.06","746.9",NA,"Q20.9",NA,"Cardiac, Other","Abnormalities of position and connection of heart","10",1,4
"16","Total mirror imagery (situs inversus),","03.01.03","759.3",NA,"Q89.3",NA,"Situs inversus","Abnormalities of position and connection of heart","11",1,1
"17","Right isomerism ('asplenia'),","03.01.04","746.8",NA,"Q20.6",NA,"Atrial isomerism, Right","Abnormalities of position and connection of heart","12",2,5
"18","Left isomerism ('polysplenia'),","03.01.05","746.8",NA,"Q20.6",NA,"Atrial isomerism, Left","Abnormalities of position and connection of heart","13",3,5
"19","Atrioventricular and-or ventriculo-arterial connections abnormal,","01.03.09","746.9",NA,"Q20.9",NA,"Cardiac, Other","Abnormalities of position and connection of heart","14",2,4
"20","Double inlet atrioventricular connection (double inlet ventricle),","01.01.14","745.3",NA,"Q20.4",NA,"Single ventricle","Abnormalities of position and connection of heart","15",1,4
"21","Double inlet right ventricle,","01.04.03","745.3",NA,"Q20.4",NA,"Single ventricle, DIRV","Abnormalities of position and connection of heart","16",2,4
"22","Double inlet left ventricle,","01.04.04","745.3",NA,"Q20.4",NA,"Single ventricle, DILV","Abnormalities of position and connection of heart","17",3,4
"23","Tricuspid atresia,","06.01.01","746.1",NA,"Q22.4",NA,"Single ventricle, Tricuspid atresia","Abnormalities of position and connection of heart","18",1,2
"24","Mitral atresia,","06.02.01","746.8",NA,"Q23.2",NA,"Single ventricle, Mitral atresia","Abnormalities of position and connection of heart","19",1,5
"25","Solitary ventricle of indeterminate morphology,","02.03.05","745.3",NA,"Q20.4",NA,"Single ventricle, Other","Abnormalities of position and connection of heart","20",4,4
"26","Discordant ventriculo-arterial connections (TGA),","01.05.01","745.1",NA,"Q20.3",NA,"TGA","Abnormalities of position and connection of heart","21",1,2
"27","Transposition of great arteries (TGA) (concordant atrioventricular & discordant ventriculo-arterial connections) & intact ventricular septum,","01.01.02","745.1",NA,"Q20.3",NA,"TGA, IVS","Abnormalities of position and connection of heart","22",2,2
"28","Congenitally corrected transposition of great arteries (discordant atrioventricular & ventriculo-arterial connections),","01.01.03","745.1",NA,"Q20.5",NA,"Congenitally corrected TGA","Abnormalities of position and connection of heart","23",1,1
"29","Double outlet right ventricle,","01.01.04","746.8",NA,"Q20.1",NA,"DORV","Abnormalities of position and connection of heart","24",1,6
"30","Double outlet right ventricle: Fallot type (subaortic or doubly committed ventricular septal defect & pulmonary stenosis),","01.01.17","746.8",NA,"Q20.1",NA,"DORV, TOF type","Abnormalities of position and connection of heart","25",2,6
"31","Double outlet right ventricle: transposition type (subpulmonary ventricular septal defect),","01.01.18","746.8",NA,"Q20.1",NA,"DORV, TGA type","Abnormalities of position and connection of heart","26",3,6
"32","Double outlet right ventricle: with non-committed ventricular septal defect,","01.01.19","746.8",NA,"Q20.1",NA,"DORV, Remote VSD (Uncommitted VSD)","Abnormalities of position and connection of heart","27",4,6
"33","Double outlet right ventricle: subaortic or doubly committed ventricular septal defect without pulmonary stenosis ('VSD type'),","01.01.40","746.8",NA,"Q20.1",NA,"DORV, VSD type","Abnormalities of position and connection of heart","28",5,6
"34","Double outlet right ventricle: with intact ventricular septum,","01.01.24","746.8",NA,"Q20.1",NA,"DORV, IVS","Abnormalities of position and connection of heart","29",6,6
"35","Double outlet left ventricle,","01.05.03","746.8",NA,"Q20.2",NA,"DOLV","Abnormalities of position and connection of heart","30",1,1
"36","Common arterial trunk (truncus arteriosus),","09.01.01","745.0",NA,"Q20.0",NA,"Truncus arteriosus","Abnormalities of position and connection of heart","31",1,1
"37","Concordant VA connections with parallel great arteries (anatomically corrected malposition),","01.05.10","746.9",NA,"Q20.8",NA,"Cardiac, Other","Abnormalities of position and connection of heart","32",1,8
"38","Tetralogy of Fallot,","01.01.01","745.2",NA,"Q21.3",NA,"TOF","Tetralogy of Fallot and variants","2",1,3
"39","Pulmonary atresia + ventricular septal defect (VSD) (including Fallot type),","01.01.06","745.2",NA,"Q21.3",NA,"Pulmonary atresia, VSD (including TOF, PA)","Tetralogy of Fallot and variants","3",2,3
"40","Pulmonary atresia + ventricular septal defect (VSD) + systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","01.01.25","745.2","747.9","Q21.3","Q27.8","Pulmonary atresia: VSD: MAPCA (pseudotruncus)","Tetralogy of Fallot and variants","4",3,3
"41","Absent pulmonary valve syndrome: Fallot-type,","09.05.25","746.8","746.0","Q24.8","Q22.3","TOF, Absent Pulmonary Valve","Tetralogy of Fallot and variants","5",3,21
"42","Solitary arterial trunk (absent intrapericardial pulmonary arteries),","09.07.26","745.2",NA,"Q25.7",NA,"Cardiac, Other","Tetralogy of Fallot and variants","6",1,11
"43","Major systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","09.08.01","747.9",NA,"Q27.8",NA,"MAPCA(s) (major aortopulmonary collateral[s]) (without PA-VSD)","Tetralogy of Fallot and variants","7",1,6
