"epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq"
"Diagnostic congenital and generic cardiac codes",,,,,,,"Diagnostic congenital and generic cardiac codes",1
"Normal heart,","01.01.00","nc",,"nc",,"Normal heart","Diagnostic congenital and generic cardiac codes",2
"Laevocardia: heart predominantly in left hemithorax,","02.01.03","nc",,"nc",,"Levocardia","Diagnostic congenital and generic cardiac codes",3
"Normal atrial arrangement (situs), atrioventricular & ventriculo-arterial connections,","01.03.10","nc",,"nc",,,"Diagnostic congenital and generic cardiac codes",4
"Usual atrial arrangement (atrial situs solitus),","01.03.00","nc",,"nc",,,"Diagnostic congenital and generic cardiac codes",5
"Concordant ventriculo-arterial connections,","01.05.00","nc",,"nc",,,"Diagnostic congenital and generic cardiac codes",6
"Innocent murmur,","10.12.01","785.2",,"R01.0",,,"Diagnostic congenital and generic cardiac codes",7
"Abnormalities of position and connection of heart",,,,,,,"Abnormalities of position and connection of heart",1
"Position-orientation of heart abnormal,","02.01.09","746.8",,"Q24.8",,"Cardiac, Other","Abnormalities of position and connection of heart",2
"Dextrocardia: heart predominantly in right hemithorax,","02.01.02","746.8",,"Q24.0",,"Dextrocardia","Abnormalities of position and connection of heart",3
"Midline heart (mesocardia),","02.01.04","746.8",,"Q24.8",,"Mesocardia","Abnormalities of position and connection of heart",4
"Position or morphology of thoraco-abdominal organs abnormal,","03.01.09","759.9",,"Q89.9",,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart",5
"Lung anomaly,","03.02.09","748.9",,"Q33.8",,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart",6
"Functionally congenital single lung,","03.02.14","748.5",,"Q33.2",,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart",7
"Tracheobronchial anomaly,","03.03.05","748.3",,"Q32.4",,"Thoracic and-or mediastinal, Other","Abnormalities of position and connection of heart",8
"Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),","03.01.02","759.3",,"Q20.6",,"Heterotaxia syndrome","Abnormalities of position and connection of heart",9
"Abnormal atrial arrangement,","01.03.06","746.9",,"Q20.9",,"Cardiac, Other","Abnormalities of position and connection of heart",10
"Total mirror imagery (situs inversus),","03.01.03","759.3",,"Q89.3",,"Situs inversus","Abnormalities of position and connection of heart",11
"Right isomerism ('asplenia'),","03.01.04","746.8",,"Q20.6",,"Atrial isomerism, Right","Abnormalities of position and connection of heart",12
"Left isomerism ('polysplenia'),","03.01.05","746.8",,"Q20.6",,"Atrial isomerism, Left","Abnormalities of position and connection of heart",13
"Atrioventricular and-or ventriculo-arterial connections abnormal,","01.03.09","746.9",,"Q20.9",,"Cardiac, Other","Abnormalities of position and connection of heart",14
"Double inlet atrioventricular connection (double inlet ventricle),","01.01.14","745.3",,"Q20.4",,"Single ventricle","Abnormalities of position and connection of heart",15
