"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Diagnostic congenital and generic cardiac codes","Normal heart,","01.01.00","nc",,,,,"Normal heart","nc",,1,1
"Diagnostic congenital and generic cardiac codes","Laevocardia: heart predominantly in left hemithorax,","02.01.03","nc",,,,,"Levocardia","nc",,2,2
"Diagnostic congenital and generic cardiac codes","Normal atrial arrangement (situs), atrioventricular & ventriculo-arterial connections,","01.03.10","nc",,,,,,"nc",,3,3
"Diagnostic congenital and generic cardiac codes","Usual atrial arrangement (atrial situs solitus),","01.03.00","nc",,,,,,"nc",,4,4
"Diagnostic congenital and generic cardiac codes","Concordant ventriculo-arterial connections,","01.05.00","nc",,,,,,"nc",,5,5
"Diagnostic congenital and generic cardiac codes","Innocent murmur,","10.12.01","R01.0","Benign and innocent cardiac murmurs",,"R01.0","Benign and innocent cardiac murmurs",,"785.2",,1,1
"Abnormalities of position and connection of heart","Position-orientation of heart abnormal,","02.01.09","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Cardiac, Other","746.8",,1,1
"Abnormalities of position and connection of heart","Dextrocardia: heart predominantly in right hemithorax,","02.01.02","Q24.0","Dextrocardia",,"Q24.0","Dextrocardia","Dextrocardia","746.8",,1,1
"Abnormalities of position and connection of heart","Midline heart (mesocardia),","02.01.04","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Mesocardia","746.8",,2,2
"Abnormalities of position and connection of heart","Position or morphology of thoraco-abdominal organs abnormal,","03.01.09","Q89.9","Congenital malformation, unspecified",,"Q89.9","Congenital malformation, unspecified","Thoracic and-or mediastinal, Other","759.9",,1,1
"Abnormalities of position and connection of heart","Lung anomaly,","03.02.09","Q33.8","Other congenital malformations of lung",,"Q33.8","Other congenital malformations of lung","Thoracic and-or mediastinal, Other","748.9",,1,1
"Abnormalities of position and connection of heart","Functionally congenital single lung,","03.02.14","Q33.2","Sequestration of lung",,"Q33.2","Sequestration of lung","Thoracic and-or mediastinal, Other","748.5",,1,1
"Abnormalities of position and connection of heart","Tracheobronchial anomaly,","03.03.05","Q32.4","Other congenital malformations of bronchus",,"Q32.4","Other congenital malformations of bronchus","Thoracic and-or mediastinal, Other","748.3",,1,1
"Abnormalities of position and connection of heart","Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),","03.01.02","Q20.6","Isomerism of atrial appendages",,"Q20.6","Isomerism of atrial appendages","Heterotaxia syndrome","759.3",,1,1
"Abnormalities of position and connection of heart","Abnormal atrial arrangement,","01.03.06","Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Q20.9","Congenital malformation of cardiac chambers and connections, unspecified","Cardiac, Other","746.9",,1,1
