"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Diagnostic congenital and generic cardiac codes","Normal heart,","01.01.00","nc",,,,,,"Normal heart","nc",
"Diagnostic congenital and generic cardiac codes","Laevocardia: heart predominantly in left hemithorax,","02.01.03","nc",,,,,,"Levocardia","nc",
"Diagnostic congenital and generic cardiac codes","Normal atrial arrangement (situs), atrioventricular & ventriculo-arterial connections,","01.03.10","nc",,,,,,,"nc",
"Diagnostic congenital and generic cardiac codes","Usual atrial arrangement (atrial situs solitus),","01.03.00","nc",,,,,,,"nc",
"Diagnostic congenital and generic cardiac codes","Concordant ventriculo-arterial connections,","01.05.00","nc",,,,,,,"nc",
"Diagnostic congenital and generic cardiac codes","Innocent murmur,","10.12.01","R01.0","Benign and innocent cardiac murmurs",,"R01.0","Benign and innocent cardiac murmurs",,,"785.2",
"Abnormalities of position and connection of heart","Position-orientation of heart abnormal,","02.01.09","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.8",
"Abnormalities of position and connection of heart","Dextrocardia: heart predominantly in right hemithorax,","02.01.02","Q24.0","Dextrocardia",,"Q24.0","Dextrocardia",,"Dextrocardia","746.8",
"Abnormalities of position and connection of heart","Midline heart (mesocardia),","02.01.04","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Mesocardia","746.8",
"Abnormalities of position and connection of heart","Position or morphology of thoraco-abdominal organs abnormal,","03.01.09","Q89.9","Congenital malformation, unspecified",,"Q89.9","Congenital malformation, unspecified",,"Thoracic and-or mediastinal, Other","759.9",
"Abnormalities of position and connection of heart","Lung anomaly,","03.02.09","Q33.8","Other congenital malformations of lung",,"Q33.8","Other congenital malformations of lung",,"Thoracic and-or mediastinal, Other","748.9",
"Abnormalities of position and connection of heart","Functionally congenital single lung,","03.02.14","Q33.2","Sequestration of lung",,"Q33.2","Sequestration of lung",,"Thoracic and-or mediastinal, Other","748.5",
"Abnormalities of position and connection of heart","Tracheobronchial anomaly,","03.03.05","Q32.4","Other congenital malformations of bronchus",,"Q32.4","Other congenital malformations of bronchus",,"Thoracic and-or mediastinal, Other","748.3",
"Abnormalities of position and connection of heart","Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),","03.01.02","Q20.6","Isomerism of atrial appendages",,"Q20.6","Isomerism of atrial appendages",,"Heterotaxia syndrome","759.3",
"Abnormalities of position and connection of heart","Abnormal atrial arrangement,","01.03.06","Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Cardiac, Other","746.9",
"Abnormalities of position and connection of heart","Total mirror imagery (situs inversus),","03.01.03","Q89.3","Situs inversus",,"Q89.30","Situs inversus, unspecified","Q89.39, Q89.31, Q89.32, Q89.33, Q89.34, Q89.35","Situs inversus","759.3",
"Abnormalities of position and connection of heart","Right isomerism ('asplenia'),","03.01.04","Q20.6","Isomerism of atrial appendages",,"Q20.6","Isomerism of atrial appendages",,"Atrial isomerism, Right","746.8",
"Abnormalities of position and connection of heart","Left isomerism ('polysplenia'),","03.01.05","Q20.6","Isomerism of atrial appendages",,"Q20.6","Isomerism of atrial appendages",,"Atrial isomerism, Left","746.8",
"Abnormalities of position and connection of heart","Atrioventricular and-or ventriculo-arterial connections abnormal,","01.03.09","Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Cardiac, Other","746.9",
"Abnormalities of position and connection of heart","Double inlet atrioventricular connection (double inlet ventricle),","01.01.14","Q20.4","Double inlet ventricle",,"Q20.40","Double inlet ventricle, unspecified","Q20.41, Q20.42, Q20.49","Single ventricle","745.3",
"Abnormalities of position and connection of heart","Double inlet right ventricle,","01.04.03","Q20.4","Double inlet ventricle",,"Q20.40","Double inlet ventricle, unspecified","Q20.41, Q20.42, Q20.49","Single ventricle, DIRV","745.3",
"Abnormalities of position and connection of heart","Double inlet left ventricle,","01.04.04","Q20.4","Double inlet ventricle",,"Q20.40","Double inlet ventricle, unspecified","Q20.41, Q20.42, Q20.49","Single ventricle, DILV","745.3",
"Abnormalities of position and connection of heart","Tricuspid atresia,","06.01.01","Q22.4","Congenital tricuspid stenosis",,"Q22.41","Congenital tricuspid stenosis","Q22.42","Single ventricle, Tricuspid atresia","746.1",
"Abnormalities of position and connection of heart","Mitral atresia,","06.02.01","Q23.2","Congenital mitral stenosis",,"Q23.21","Congenital mitral stenosis","Q23.22","Single ventricle, Mitral atresia","746.8",
"Abnormalities of position and connection of heart","Solitary ventricle of indeterminate morphology,","02.03.05","Q20.4","Double inlet ventricle",,"Q20.40","Double inlet ventricle, unspecified","Q20.41, Q20.42, Q20.49","Single ventricle, Other","745.3",
"Abnormalities of position and connection of heart","Discordant ventriculo-arterial connections (TGA),","01.05.01","Q20.3","Discordant ventriculoarterial connection",,"Q20.30","Discordant ventriculoarterial connection, unspecified","Q20.39, Q20.31","TGA","745.1",
"Abnormalities of position and connection of heart","Transposition of great arteries (TGA) (concordant atrioventricular & discordant ventriculo-arterial connections) & intact ventricular septum,","01.01.02","Q20.3","Discordant ventriculoarterial connection",,"Q20.30","Discordant ventriculoarterial connection, unspecified","Q20.39, Q20.31","TGA, IVS","745.1",
