"icd10_code","icd10_name","icd10am_code","icd10am_name","file_seq","icd10_seq","icd10_max"
"A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae","A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae",1,1,1
"A00.1","Cholera due to Vibrio cholerae 01, biovar eltor","A00.1","Cholera due to Vibrio cholerae 01, biovar eltor",2,1,1
"A00.9","Cholera, unspecified","A00.9","Cholera, unspecified",3,1,1
"A01.0","Typhoid fever","A01.0","Typhoid fever",4,1,1
"A01.1","Paratyphoid fever A","A01.1","Paratyphoid fever A",5,1,1
"A01.2","Paratyphoid fever B","A01.2","Paratyphoid fever B",6,1,1
"A01.3","Paratyphoid fever C","A01.3","Paratyphoid fever C",7,1,1
"A01.4","Paratyphoid fever, unspecified","A01.4","Paratyphoid fever, unspecified",8,1,1
"A02.0","Salmonella enteritis","A02.0","Salmonella enteritis",9,1,1
"A02.1","Salmonella sepsis","A02.1","Sepsis due to Salmonella",10,1,1
"A02.2","Localized salmonella infections","A02.2","Localised Salmonella infections",11,1,1
"A02.8","Other specified salmonella infections","A02.8","Other specified Salmonella infections",12,1,1
"A02.9","Salmonella infection, unspecified","A02.9","Salmonella infection, unspecified",13,1,1
"A03.0","Shigellosis due to Shigella dysenteriae","A03.0","Shigellosis due to Shigella dysenteriae",14,1,1
"A03.1","Shigellosis due to Shigella flexneri","A03.1","Shigellosis due to Shigella flexneri",15,1,1
"A03.2","Shigellosis due to Shigella boydii","A03.2","Shigellosis due to Shigella boydii",16,1,1
"A03.3","Shigellosis due to Shigella sonnei","A03.3","Shigellosis due to Shigella sonnei",17,1,1
"A03.8","Other shigellosis","A03.8","Other shigellosis",18,1,1
"A03.9","Shigellosis, unspecified","A03.9","Shigellosis, unspecified",19,1,2
"A03.9","Shigellosis, unspecified","A03.7","Sepsis due to Shigella",20,2,2
"A04.0","Enteropathogenic Escherichia coli infection","A04.0","Enteropathogenic Escherichia coli infection",21,1,1
"A04.1","Enterotoxigenic Escherichia coli infection","A04.1","Enterotoxigenic Escherichia coli infection",22,1,1
"A04.2","Enteroinvasive Escherichia coli infection","A04.2","Enteroinvasive Escherichia coli infection",23,1,1
"A04.3","Enterohaemorrhagic Escherichia coli infection","A04.3","Enterohaemorrhagic Escherichia coli infection",24,1,1
"A04.4","Other intestinal Escherichia coli infections","A04.4","Other intestinal Escherichia coli infection",25,1,1
"A04.5","Campylobacter enteritis","A04.5","Campylobacter enteritis",26,1,1
"A04.6","Enteritis due to Yersinia enterocolitica","A04.6","Enteritis due to Yersinia enterocolitica",27,1,1
"A04.7","Enterocolitis due to Clostridium difficile","A04.7","Enterocolitis due to Clostridioides [Clostridium] difficile",28,1,1
"A04.8","Other specified bacterial intestinal infections","A04.8","Other specified bacterial intestinal infection",29,1,1
"A04.9","Bacterial intestinal infection, unspecified","A04.9","Bacterial intestinal infection, unspecified",30,1,1
"A05.0","Foodborne staphylococcal intoxication","A05.0","Food-borne staphylococcal intoxication",31,1,1
"A05.1","Botulism","A05.1","Botulism",32,1,1
"A05.2","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","A05.2","Food-borne Clostridium perfringens [Clostridium welchii] intoxication",33,1,1
"A05.3","Foodborne Vibrio parahaemolyticus intoxication","A05.3","Food-borne Vibrio parahaemolyticus intoxication",34,1,1
"A05.4","Foodborne Bacillus cereus intoxication","A05.4","Food-borne Bacillus cereus intoxication",35,1,1
"A05.8","Other specified bacterial foodborne intoxications","A05.8","Other specified bacterial food-borne intoxications",36,1,1
"A05.9","Bacterial foodborne intoxication, unspecified","A05.9","Bacterial food-borne intoxication, unspecified",37,1,1
"A06.0","Acute amoebic dysentery","A06.0","Acute amoebic dysentery",38,1,1
"A06.1","Chronic intestinal amoebiasis","A06.1","Chronic intestinal amoebiasis",39,1,1
"A06.2","Amoebic nondysenteric colitis","A06.2","Amoebic nondysenteric colitis",40,1,1
"A06.3","Amoeboma of intestine","A06.3","Amoeboma of intestine",41,1,1
"A06.4","Amoebic liver abscess","A06.4","Amoebic liver abscess",42,1,1
"A06.5","Amoebic lung abscess","A06.5","Amoebic lung abscess",43,1,1
"A06.6","Amoebic brain abscess","A06.6","Amoebic brain abscess",44,1,1
"A06.7","Cutaneous amoebiasis","A06.7","Cutaneous amoebiasis",45,1,1
"A06.8","Amoebic infection of other sites","A06.8","Amoebic infection of other sites",46,1,1
"A06.9","Amoebiasis, unspecified","A06.9","Amoebiasis, unspecified",47,1,1
"A07.0","Balantidiasis","A07.0","Balantidiasis",48,1,1
"A07.1","Giardiasis [lambliasis]","A07.1","Giardiasis [lambliasis]",49,1,1
