"icd10am_code","icd10am_name","epcc_code","epcc_name","epcc_code_source","chapter_groups","epcc_code_multiple","epcc_code_all","epcc_code_first","epcc_code_ks1","epcc_code_ks2","block","block_desc","chapter_range","chapter_desc"
"A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A00.1","Cholera due to Vibrio cholerae 01, biovar eltor",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A00.9","Cholera, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A01.0","Typhoid fever",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A01.1","Paratyphoid fever A",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A01.2","Paratyphoid fever B",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A01.3","Paratyphoid fever C",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A01.4","Paratyphoid fever, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A02.0","Salmonella enteritis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A02.1","Sepsis due to Salmonella",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A02.2","Localised Salmonella infections",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A02.8","Other specified Salmonella infections",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A02.9","Salmonella infection, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A03.0","Shigellosis due to Shigella dysenteriae",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A03.1","Shigellosis due to Shigella flexneri",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A03.2","Shigellosis due to Shigella boydii",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A03.3","Shigellosis due to Shigella sonnei",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A03.7","Sepsis due to Shigella",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A03.8","Other shigellosis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A03.9","Shigellosis, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.0","Enteropathogenic Escherichia coli infection",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.1","Enterotoxigenic Escherichia coli infection",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.2","Enteroinvasive Escherichia coli infection",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.3","Enterohaemorrhagic Escherichia coli infection",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.4","Other intestinal Escherichia coli infection",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.5","Campylobacter enteritis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.6","Enteritis due to Yersinia enterocolitica",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.7","Enterocolitis due to Clostridioides [Clostridium] difficile","15.82.32",,"epcc","other",FALSE,"15.82.32","15.82.32",,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.8","Other specified bacterial intestinal infection",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A04.9","Bacterial intestinal infection, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A05.0","Food-borne staphylococcal intoxication",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A05.1","Botulism",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A05.2","Food-borne Clostridium perfringens [Clostridium welchii] intoxication",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A05.3","Food-borne Vibrio parahaemolyticus intoxication",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A05.4","Food-borne Bacillus cereus intoxication",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A05.8","Other specified bacterial food-borne intoxications",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A05.9","Bacterial food-borne intoxication, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.0","Acute amoebic dysentery",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.1","Chronic intestinal amoebiasis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.2","Amoebic nondysenteric colitis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.3","Amoeboma of intestine",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.4","Amoebic liver abscess",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.5","Amoebic lung abscess",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.6","Amoebic brain abscess",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.7","Cutaneous amoebiasis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.8","Amoebic infection of other sites",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A06.9","Amoebiasis, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A07.0","Balantidiasis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A07.1","Giardiasis [lambliasis]",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A07.2","Cryptosporidiosis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A07.3","Isosporiasis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A07.8","Other specified protozoal intestinal diseases",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A07.9","Protozoal intestinal disease, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
