"","icd10am_code","icd10am_name","epcc_code","epcc_name","chapter_groups","block","block_desc","chapter_range","chapter_desc","epcc_code_source","in_drt"
"1","A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"2","A00.1","Cholera due to Vibrio cholerae 01, biovar eltor",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"3","A00.9","Cholera, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"4","A01.0","Typhoid fever",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"5","A01.1","Paratyphoid fever A",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"6","A01.2","Paratyphoid fever B",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"7","A01.3","Paratyphoid fever C",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"8","A01.4","Paratyphoid fever, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"9","A02.0","Salmonella enteritis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"10","A02.1","Sepsis due to Salmonella",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"11","A02.2","Localised Salmonella infections",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"12","A02.8","Other specified Salmonella infections",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"13","A02.9","Salmonella infection, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"14","A03.0","Shigellosis due to Shigella dysenteriae",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"15","A03.1","Shigellosis due to Shigella flexneri",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"16","A03.2","Shigellosis due to Shigella boydii",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"17","A03.3","Shigellosis due to Shigella sonnei",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"18","A03.7","Sepsis due to Shigella",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"19","A03.8","Other shigellosis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
